validation_group_id,source_study_id,source_package_id,data_lineage_id,source_organization_id,laboratory_id,base_material_id,material_roast_unit_id,species,roast_stratum,roast_batch_id,quantitative_roast_metric_type,quantitative_roast_metric_unit,roast_mass_loss_metric_unit,role,analyte_plan,moisture_plan,uncertainty_plan
VG05,STUDY-VG05,PACKAGE-VG05,LINEAGE-VG05,ORG-01,LAB-A,VG05-A-S1,VG05-A-LIGHT,Arabica,light,RB-VG05-A-LIGHT,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,OPEN_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
VG05,STUDY-VG05,PACKAGE-VG05,LINEAGE-VG05,ORG-01,LAB-A,VG05-A-S1,VG05-A-MEDIUM,Arabica,medium,RB-VG05-A-MEDIUM,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,OPEN_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
VG05,STUDY-VG05,PACKAGE-VG05,LINEAGE-VG05,ORG-01,LAB-A,VG05-A-S2,VG05-A-DARK,Arabica,dark,RB-VG05-A-DARK,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,OPEN_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
VG05,STUDY-VG05,PACKAGE-VG05,LINEAGE-VG05,ORG-01,LAB-A,VG05-R-S1,VG05-R-LIGHT,Robusta,light,RB-VG05-R-LIGHT,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,OPEN_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
VG05,STUDY-VG05,PACKAGE-VG05,LINEAGE-VG05,ORG-01,LAB-A,VG05-R-S1,VG05-R-MEDIUM,Robusta,medium,RB-VG05-R-MEDIUM,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,OPEN_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
VG05,STUDY-VG05,PACKAGE-VG05,LINEAGE-VG05,ORG-01,LAB-A,VG05-R-S2,VG05-R-DARK,Robusta,dark,RB-VG05-R-DARK,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,OPEN_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
VG06,STUDY-VG06,PACKAGE-VG06,LINEAGE-VG06,ORG-02,LAB-D,VG06-A-S2,VG06-A-LIGHT,Arabica,light,RB-VG06-A-LIGHT,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,HOLDOUT_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
VG06,STUDY-VG06,PACKAGE-VG06,LINEAGE-VG06,ORG-02,LAB-D,VG06-A-S1,VG06-A-MEDIUM,Arabica,medium,RB-VG06-A-MEDIUM,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,HOLDOUT_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
VG06,STUDY-VG06,PACKAGE-VG06,LINEAGE-VG06,ORG-02,LAB-D,VG06-A-S1,VG06-A-DARK,Arabica,dark,RB-VG06-A-DARK,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,HOLDOUT_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
VG06,STUDY-VG06,PACKAGE-VG06,LINEAGE-VG06,ORG-02,LAB-D,VG06-R-S2,VG06-R-LIGHT,Robusta,light,RB-VG06-R-LIGHT,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,HOLDOUT_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
VG06,STUDY-VG06,PACKAGE-VG06,LINEAGE-VG06,ORG-02,LAB-D,VG06-R-S1,VG06-R-MEDIUM,Robusta,medium,RB-VG06-R-MEDIUM,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,HOLDOUT_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
VG06,STUDY-VG06,PACKAGE-VG06,LINEAGE-VG06,ORG-02,LAB-D,VG06-R-S1,VG06-R-DARK,Robusta,dark,RB-VG06-R-DARK,CIE_L_STAR_GROUND_COFFEE,1,percent_dry_basis,HOLDOUT_PRIMARY,caffeine|trigonelline,SAME_BATCH_N3,REPLICATE_LEVEL
