base_coffee_material_id,roast_batch_id,source_publication_id,data_lineage_id,laboratory_id,species_common,species_scientific,species_fraction,variety_cultivar,origin_country,origin_region,farm_estate_lot,processing_method,harvest_year,material_form,roast_category_published,roast_category_harmonized,roast_metric_type,roast_metric_value,roast_metric_units,colour_metric,roast_temperature_history,roast_duration,roast_mass_loss,moisture_value,moisture_basis,dose_sample_mass_basis,descriptor_provenance,descriptor_missingness_flags
dias_r000,dias_r000_light,dias2015,dias2015_table2,lab_uel_benassi,Arabica,Coffea arabica,0.0,IAPAR59/Apoata,Brazil,,,,,ground,light,light,roast_mass_loss,13,percent mass loss,,,,13,2 base coffees; blends share both parents,wet_basis,dry roasted coffee,,
dias_r050,dias_r050_dark,dias2015,dias2015_table2,lab_uel_benassi,Blend,Blend,0.5,IAPAR59/Apoata,Brazil,,,,,ground,dark,dark,roast_mass_loss,20,percent mass loss,,,,20,2 base coffees; blends share both parents,wet_basis,dry roasted coffee,,
dias_r100,dias_r100_light,dias2015,dias2015_table2,lab_uel_benassi,Robusta,Coffea canephora,1.0,IAPAR59/Apoata,Brazil,,,,,ground,light,light,roast_mass_loss,13,percent mass loss,,,,13,2 base coffees; blends share both parents,wet_basis,dry roasted coffee,,
dias_r100,dias_r100_medium,dias2015,dias2015_table2,lab_uel_benassi,Robusta,Coffea canephora,1.0,IAPAR59/Apoata,Brazil,,,,,ground,medium,medium,roast_mass_loss,17,percent mass loss,,,,17,2 base coffees; blends share both parents,wet_basis,dry roasted coffee,,
dias_r100,dias_r100_dark,dias2015,dias2015_table2,lab_uel_benassi,Robusta,Coffea canephora,1.0,IAPAR59/Apoata,Brazil,,,,,ground,dark,dark,roast_mass_loss,20,percent mass loss,,,,20,2 base coffees; blends share both parents,wet_basis,dry roasted coffee,,
acre_c1,acre_c1_medium_light,acre2024,acre2024_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,C1,Brazil,,,,,ground,medium-light,,roast_mass_loss,13.7,percent mass loss,,,,13.7,0.024,wet_basis,dry roasted coffee,Table S1 genotype; C/R/H are C. canephora varieties,
acre_c2,acre_c2_medium_light,acre2024,acre2024_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,C2,Brazil,,,,,ground,medium-light,,roast_mass_loss,13.7,percent mass loss,,,,13.7,0.024,wet_basis,dry roasted coffee,Table S1 genotype; C/R/H are C. canephora varieties,
acre_c3,acre_c3_medium_light,acre2024,acre2024_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,C3,Brazil,,,,,ground,medium-light,,roast_mass_loss,13.7,percent mass loss,,,,13.7,0.024,wet_basis,dry roasted coffee,Table S1 genotype; C/R/H are C. canephora varieties,
acre_c4,acre_c4_medium_light,acre2024,acre2024_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,C4,Brazil,,,,,ground,medium-light,,roast_mass_loss,13.7,percent mass loss,,,,13.7,0.024,wet_basis,dry roasted coffee,Table S1 genotype; C/R/H are C. canephora varieties,
acre_c5,acre_c5_medium_light,acre2024,acre2024_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,C5,Brazil,,,,,ground,medium-light,,roast_mass_loss,13.7,percent mass loss,,,,13.7,0.024,wet_basis,dry roasted coffee,Table S1 genotype; C/R/H are C. canephora varieties,
acre_c6,acre_c6_medium_light,acre2024,acre2024_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,C6,Brazil,,,,,ground,medium-light,,roast_mass_loss,13.7,percent mass loss,,,,13.7,0.024,wet_basis,dry roasted coffee,Table S1 genotype; C/R/H are C. canephora varieties,
acre_c7,acre_c7_medium_light,acre2024,acre2024_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,C7,Brazil,,,,,ground,medium-light,,roast_mass_loss,13.7,percent mass loss,,,,13.7,0.024,wet_basis,dry roasted coffee,Table S1 genotype; C/R/H are C. canephora varieties,
acre_c8,acre_c8_medium_light,acre2024,acre2024_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,C8,Brazil,,,,,ground,medium-light,,roast_mass_loss,13.7,percent mass loss,,,,13.7,0.024,wet_basis,dry roasted coffee,Table S1 genotype; C/R/H are C. canephora varieties,
acre_c9,acre_c9_medium_light,acre2024,acre2024_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,C9,Brazil,,,,,ground,medium-light,,roast_mass_loss,13.7,percent mass loss,,,,13.7,0.024,wet_basis,dry roasted coffee,Table S1 genotype; C/R/H are C. canephora varieties,
acre_c10,acre_c10_medium_light,acre2024,acre2024_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,C10,Brazil,,,,,ground,medium-light,,roast_mass_loss,13.7,percent mass loss,,,,13.7,0.024,wet_basis,dry roasted coffee,Table S1 genotype; C/R/H are C. canephora varieties,
acre_r1,acre_r1_medium_light,acre2024,acre2024_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R1,Brazil,,,,,ground,medium-light,,roast_mass_loss,13.7,percent mass loss,,,,13.7,0.024,wet_basis,dry roasted coffee,Table S1 genotype; C/R/H are C. canephora varieties,
acre_r2,acre_r2_medium_light,acre2024,acre2024_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R2,Brazil,,,,,ground,medium-light,,roast_mass_loss,13.7,percent mass loss,,,,13.7,0.024,wet_basis,dry roasted coffee,Table S1 genotype; C/R/H are C. canephora varieties,
acre_r3,acre_r3_medium_light,acre2024,acre2024_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R3,Brazil,,,,,ground,medium-light,,roast_mass_loss,13.7,percent mass loss,,,,13.7,0.024,wet_basis,dry roasted coffee,Table S1 genotype; C/R/H are C. canephora varieties,
acre_r4,acre_r4_medium_light,acre2024,acre2024_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R4,Brazil,,,,,ground,medium-light,,roast_mass_loss,13.7,percent mass loss,,,,13.7,0.024,wet_basis,dry roasted coffee,Table S1 genotype; C/R/H are C. canephora varieties,
acre_r5,acre_r5_medium_light,acre2024,acre2024_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R5,Brazil,,,,,ground,medium-light,,roast_mass_loss,13.7,percent mass loss,,,,13.7,0.024,wet_basis,dry roasted coffee,Table S1 genotype; C/R/H are C. canephora varieties,
acre_r6,acre_r6_medium_light,acre2024,acre2024_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R6,Brazil,,,,,ground,medium-light,,roast_mass_loss,13.7,percent mass loss,,,,13.7,0.024,wet_basis,dry roasted coffee,Table S1 genotype; C/R/H are C. canephora varieties,
acre_r7,acre_r7_medium_light,acre2024,acre2024_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R7,Brazil,,,,,ground,medium-light,,roast_mass_loss,13.7,percent mass loss,,,,13.7,0.024,wet_basis,dry roasted coffee,Table S1 genotype; C/R/H are C. canephora varieties,
acre_r8,acre_r8_medium_light,acre2024,acre2024_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R8,Brazil,,,,,ground,medium-light,,roast_mass_loss,13.7,percent mass loss,,,,13.7,0.024,wet_basis,dry roasted coffee,Table S1 genotype; C/R/H are C. canephora varieties,
acre_r9,acre_r9_medium_light,acre2024,acre2024_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R9,Brazil,,,,,ground,medium-light,,roast_mass_loss,13.7,percent mass loss,,,,13.7,0.024,wet_basis,dry roasted coffee,Table S1 genotype; C/R/H are C. canephora varieties,
acre_r10,acre_r10_medium_light,acre2024,acre2024_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R10,Brazil,,,,,ground,medium-light,,roast_mass_loss,13.7,percent mass loss,,,,13.7,0.024,wet_basis,dry roasted coffee,Table S1 genotype; C/R/H are C. canephora varieties,
acre_h1,acre_h1_medium_light,acre2024,acre2024_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,H1,Brazil,,,,,ground,medium-light,,roast_mass_loss,13.7,percent mass loss,,,,13.7,0.024,wet_basis,dry roasted coffee,Table S1 genotype; C/R/H are C. canephora varieties,
acre_h2,acre_h2_medium_light,acre2024,acre2024_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,H2,Brazil,,,,,ground,medium-light,,roast_mass_loss,13.7,percent mass loss,,,,13.7,0.024,wet_basis,dry roasted coffee,Table S1 genotype; C/R/H are C. canephora varieties,
acre_h3,acre_h3_medium_light,acre2024,acre2024_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,H3,Brazil,,,,,ground,medium-light,,roast_mass_loss,13.7,percent mass loss,,,,13.7,0.024,wet_basis,dry roasted coffee,Table S1 genotype; C/R/H are C. canephora varieties,
acre_h4,acre_h4_medium_light,acre2024,acre2024_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,H4,Brazil,,,,,ground,medium-light,,roast_mass_loss,13.7,percent mass loss,,,,13.7,0.024,wet_basis,dry roasted coffee,Table S1 genotype; C/R/H are C. canephora varieties,
acre_h5,acre_h5_medium_light,acre2024,acre2024_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,H5,Brazil,,,,,ground,medium-light,,roast_mass_loss,13.7,percent mass loss,,,,13.7,0.024,wet_basis,dry roasted coffee,Table S1 genotype; C/R/H are C. canephora varieties,
acre_h6,acre_h6_medium_light,acre2024,acre2024_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,H6,Brazil,,,,,ground,medium-light,,roast_mass_loss,13.7,percent mass loss,,,,13.7,0.024,wet_basis,dry roasted coffee,Table S1 genotype; C/R/H are C. canephora varieties,
acre_h7,acre_h7_medium_light,acre2024,acre2024_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,H7,Brazil,,,,,ground,medium-light,,roast_mass_loss,13.7,percent mass loss,,,,13.7,0.024,wet_basis,dry roasted coffee,Table S1 genotype; C/R/H are C. canephora varieties,
acre_h8,acre_h8_medium_light,acre2024,acre2024_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,H8,Brazil,,,,,ground,medium-light,,roast_mass_loss,13.7,percent mass loss,,,,13.7,0.024,wet_basis,dry roasted coffee,Table S1 genotype; C/R/H are C. canephora varieties,
acre_h9,acre_h9_medium_light,acre2024,acre2024_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,H9,Brazil,,,,,ground,medium-light,,roast_mass_loss,13.7,percent mass loss,,,,13.7,0.024,wet_basis,dry roasted coffee,Table S1 genotype; C/R/H are C. canephora varieties,
acre_h10,acre_h10_medium_light,acre2024,acre2024_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,H10,Brazil,,,,,ground,medium-light,,roast_mass_loss,13.7,percent mass loss,,,,13.7,0.024,wet_basis,dry roasted coffee,Table S1 genotype; C/R/H are C. canephora varieties,
viencz_r1,viencz_r1_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R1,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r2,viencz_r2_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R2,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r3,viencz_r3_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R3,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r4,viencz_r4_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R4,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r5,viencz_r5_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R5,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r6,viencz_r6_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R6,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r7,viencz_r7_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R7,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r8,viencz_r8_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R8,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r9,viencz_r9_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R9,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r10,viencz_r10_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R10,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r11,viencz_r11_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R11,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r12,viencz_r12_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R12,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r13,viencz_r13_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R13,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r14,viencz_r14_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R14,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r15,viencz_r15_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R15,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r16,viencz_r16_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R16,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r17,viencz_r17_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R17,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r18,viencz_r18_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R18,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r19,viencz_r19_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R19,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r20,viencz_r20_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R20,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r21,viencz_r21_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R21,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r22,viencz_r22_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R22,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r23,viencz_r23_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R23,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r24,viencz_r24_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R24,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r25,viencz_r25_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R25,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r26,viencz_r26_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R26,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r27,viencz_r27_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R27,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r28,viencz_r28_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R28,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r29,viencz_r29_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R29,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r30,viencz_r30_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R30,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r31,viencz_r31_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R31,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r32,viencz_r32_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R32,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r33,viencz_r33_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R33,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r34,viencz_r34_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R34,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r35,viencz_r35_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R35,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r36,viencz_r36_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R36,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r37,viencz_r37_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R37,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r38,viencz_r38_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R38,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r39,viencz_r39_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R39,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r40,viencz_r40_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R40,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r41,viencz_r41_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R41,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r42,viencz_r42_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R42,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r43,viencz_r43_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R43,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r44,viencz_r44_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R44,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r45,viencz_r45_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R45,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r46,viencz_r46_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R46,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r47,viencz_r47_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R47,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
viencz_r48,viencz_r48_medium,viencz2023,viencz2023_tables1_2,lab_uel_benassi,Robusta,Coffea canephora,1,R48,Brazil,,,,,ground,medium,medium,Agtron,60,,,,,,0.039,wet_basis,dry roasted coffee,2020 Embrapa Ouro Preto do Oeste; Agtron 65-55,
