observation_id,base_coffee_material_id,roast_batch_id,analytical_batch_id,replicate_id,source_publication_id,data_lineage_id,laboratory_id,analyte,value_as_published,unit_as_published,mass_basis_as_published,uncertainty_value_as_published,uncertainty_type,number_of_analytical_replicates,target_semantics,measurement_provenance,canonical_value,canonical_unit,canonical_uncertainty,conversion_rule_id,conversion_inputs,conversion_status,rights_usable,duplicate_status,roasted_unextracted,analytical_method,source_locator,primary_prediction_label_eligible,exclusion_reason,validation_group_id,duplicate,canonical_basis,conversion_supported
acre-caf-R5,acre_r5,acre_r5_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,caffeine,2743,mg/100 g,dry roasted coffee,71,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,27.43,mg/g dry roasted coffee,0.71,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 1,true,,vg_001,false,dry roasted coffee,true
acre-caf-R6,acre_r6,acre_r6_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,caffeine,2092,mg/100 g,dry roasted coffee,37,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,20.92,mg/g dry roasted coffee,0.37,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 1,true,,vg_001,false,dry roasted coffee,true
acre-caf-R7,acre_r7,acre_r7_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,caffeine,2695,mg/100 g,dry roasted coffee,19,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,26.95,mg/g dry roasted coffee,0.19,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 1,true,,vg_001,false,dry roasted coffee,true
acre-caf-R8,acre_r8,acre_r8_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,caffeine,2472,mg/100 g,dry roasted coffee,29,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,24.72,mg/g dry roasted coffee,0.29,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 1,true,,vg_001,false,dry roasted coffee,true
acre-caf-R9,acre_r9,acre_r9_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,caffeine,2331,mg/100 g,dry roasted coffee,10,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,23.31,mg/g dry roasted coffee,0.1,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 1,true,,vg_001,false,dry roasted coffee,true
acre-tri-C1,acre_c1,acre_c1_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,trigonelline,294,mg/100 g,dry roasted coffee,23,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,2.94,mg/g dry roasted coffee,0.23,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 2,true,,vg_001,false,dry roasted coffee,true
acre-tri-C10,acre_c10,acre_c10_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,trigonelline,316,mg/100 g,dry roasted coffee,4,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,3.16,mg/g dry roasted coffee,0.04,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 2,true,,vg_001,false,dry roasted coffee,true
acre-tri-C2,acre_c2,acre_c2_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,trigonelline,540,mg/100 g,dry roasted coffee,5,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,5.4,mg/g dry roasted coffee,0.05,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 2,true,,vg_001,false,dry roasted coffee,true
acre-tri-C3,acre_c3,acre_c3_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,trigonelline,422,mg/100 g,dry roasted coffee,46,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,4.22,mg/g dry roasted coffee,0.46,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 2,true,,vg_001,false,dry roasted coffee,true
acre-tri-C4,acre_c4,acre_c4_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,trigonelline,620,mg/100 g,dry roasted coffee,15,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,6.2,mg/g dry roasted coffee,0.15,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 2,true,,vg_001,false,dry roasted coffee,true
acre-tri-C5,acre_c5,acre_c5_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,trigonelline,496,mg/100 g,dry roasted coffee,2,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,4.96,mg/g dry roasted coffee,0.02,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 2,true,,vg_001,false,dry roasted coffee,true
acre-tri-C6,acre_c6,acre_c6_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,trigonelline,398,mg/100 g,dry roasted coffee,6,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,3.98,mg/g dry roasted coffee,0.06,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 2,true,,vg_001,false,dry roasted coffee,true
acre-tri-C7,acre_c7,acre_c7_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,trigonelline,445,mg/100 g,dry roasted coffee,18,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,4.45,mg/g dry roasted coffee,0.18,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 2,true,,vg_001,false,dry roasted coffee,true
acre-tri-C8,acre_c8,acre_c8_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,trigonelline,474,mg/100 g,dry roasted coffee,24,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,4.74,mg/g dry roasted coffee,0.24,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 2,true,,vg_001,false,dry roasted coffee,true
acre-tri-C9,acre_c9,acre_c9_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,trigonelline,316,mg/100 g,dry roasted coffee,13,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,3.16,mg/g dry roasted coffee,0.13,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 2,true,,vg_001,false,dry roasted coffee,true
acre-tri-H1,acre_h1,acre_h1_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,trigonelline,554,mg/100 g,dry roasted coffee,16,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,5.54,mg/g dry roasted coffee,0.16,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 2,true,,vg_001,false,dry roasted coffee,true
acre-tri-H10,acre_h10,acre_h10_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,trigonelline,804,mg/100 g,dry roasted coffee,85,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,8.040000000000001,mg/g dry roasted coffee,0.85,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 2,true,,vg_001,false,dry roasted coffee,true
acre-tri-H2,acre_h2,acre_h2_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,trigonelline,570,mg/100 g,dry roasted coffee,12,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,5.7,mg/g dry roasted coffee,0.12,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 2,true,,vg_001,false,dry roasted coffee,true
acre-tri-H3,acre_h3,acre_h3_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,trigonelline,559,mg/100 g,dry roasted coffee,22,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,5.59,mg/g dry roasted coffee,0.22,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 2,true,,vg_001,false,dry roasted coffee,true
acre-tri-H4,acre_h4,acre_h4_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,trigonelline,620,mg/100 g,dry roasted coffee,29,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,6.2,mg/g dry roasted coffee,0.29,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 2,true,,vg_001,false,dry roasted coffee,true
acre-tri-H5,acre_h5,acre_h5_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,trigonelline,285,mg/100 g,dry roasted coffee,52,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,2.85,mg/g dry roasted coffee,0.52,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 2,true,,vg_001,false,dry roasted coffee,true
acre-tri-H6,acre_h6,acre_h6_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,trigonelline,709,mg/100 g,dry roasted coffee,13,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,7.09,mg/g dry roasted coffee,0.13,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 2,true,,vg_001,false,dry roasted coffee,true
acre-tri-H7,acre_h7,acre_h7_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,trigonelline,705,mg/100 g,dry roasted coffee,20,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,7.05,mg/g dry roasted coffee,0.2,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 2,true,,vg_001,false,dry roasted coffee,true
acre-tri-H8,acre_h8,acre_h8_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,trigonelline,646,mg/100 g,dry roasted coffee,11,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,6.46,mg/g dry roasted coffee,0.11,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 2,true,,vg_001,false,dry roasted coffee,true
acre-tri-H9,acre_h9,acre_h9_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,trigonelline,683,mg/100 g,dry roasted coffee,4,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,6.83,mg/g dry roasted coffee,0.04,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 2,true,,vg_001,false,dry roasted coffee,true
acre-tri-R1,acre_r1,acre_r1_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,trigonelline,636,mg/100 g,dry roasted coffee,23,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,6.36,mg/g dry roasted coffee,0.23,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 2,true,,vg_001,false,dry roasted coffee,true
acre-tri-R10,acre_r10,acre_r10_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,trigonelline,227,mg/100 g,dry roasted coffee,7,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,2.27,mg/g dry roasted coffee,0.07,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 2,true,,vg_001,false,dry roasted coffee,true
acre-tri-R2,acre_r2,acre_r2_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,trigonelline,329,mg/100 g,dry roasted coffee,21,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,3.29,mg/g dry roasted coffee,0.21,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 2,true,,vg_001,false,dry roasted coffee,true
acre-tri-R3,acre_r3,acre_r3_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,trigonelline,360,mg/100 g,dry roasted coffee,50,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,3.6,mg/g dry roasted coffee,0.5,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 2,true,,vg_001,false,dry roasted coffee,true
acre-tri-R4,acre_r4,acre_r4_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,trigonelline,260,mg/100 g,dry roasted coffee,29,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,2.6,mg/g dry roasted coffee,0.29,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 2,true,,vg_001,false,dry roasted coffee,true
acre-tri-R5,acre_r5,acre_r5_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,trigonelline,263,mg/100 g,dry roasted coffee,15,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,2.63,mg/g dry roasted coffee,0.15,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 2,true,,vg_001,false,dry roasted coffee,true
acre-tri-R6,acre_r6,acre_r6_medium_light,acre2024,,acre2024,acre2024_tables1_2,lab_uel_benassi,trigonelline,632,mg/100 g,dry roasted coffee,26,SD,4,TOTAL_ROASTED_CONTENT,DIRECT_ROASTED_MATERIAL_ASSAY,6.32,mg/g dry roasted coffee,0.26,exact_mg/100_g,exact factor; source explicit dry basis,SUPPORTED_EXACT,true,UNIQUE,true,HPLC-DAD,Table 2,true,,vg_001,false,dry roasted coffee,true
