row_id,condition_id,source_csv,source_row,source_sha256,source_figure,source_pdf_page,powder,flow_mL_s,mass_g,support,ey_unit,strength_unit,ey_bar_status,strength_bar_status,rounding,inclusion,exclusion_reason,identity_residual_7p5g_ey_pp,identity_residual_15g_ey_pp
mo2-E-q3-r11,E-q3,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,11,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,7,29,E,3,50.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,zero digitized entry; uncertainty unknown,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,0.2270000000000003,12.427
mo2-E-q3-r12,E-q3,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,12,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,7,29,E,3,80.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,digitized SD,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,-0.010333333333331751,12.960333333333335
mo2-E-q4-r13,E-q4,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,13,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,7,29,E,4,5.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,digitized SD,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,0.11333333333333506,5.636666666666668
mo2-E-q4-r14,E-q4,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,14,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,7,29,E,4,10.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,digitized SD,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,0.003999999999997783,8.903999999999998
mo2-E-q4-r15,E-q4,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,15,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,7,29,E,4,20.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,digitized SD,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,-0.03333333333333144,10.425333333333334
mo2-F-q2-r16,F-q2,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,16,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,9,30,F,2,5.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,digitized SD,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,0.2956666666666665,3.776333333333333
mo2-F-q2-r17,F-q2,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,17,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,9,30,F,2,11.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,digitized SD,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,-0.5477333333333334,5.893133333333333
mo2-F-q2-r18,F-q2,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,18,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,9,30,F,2,21.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,digitized SD,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,-0.07559999999999789,8.439200000000001
mo2-F-q2-r19,F-q2,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,19,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,9,30,F,2,30.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,digitized SD,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,-0.04100000000000037,9.123
mo2-F-q2-r20,F-q2,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,20,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,9,30,F,2,54.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,digitized SD,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,-0.019400000000000972,10.8958
mo2-F-q2-r21,F-q2,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,21,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,9,30,F,2,85.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,zero digitized entry; uncertainty unknown,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,-0.019999999999999574,11.047
mo2-F-q3-r22,F-q3,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,22,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,9,30,F,3,5.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,zero digitized entry; uncertainty unknown,zero digitized entry; uncertainty unknown,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,0.12900000000000045,3.49
mo2-F-q3-r23,F-q3,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,23,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,9,30,F,3,10.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,digitized SD,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,0.2320000000000011,5.758000000000001
mo2-F-q3-r24,F-q3,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,24,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,9,30,F,3,21.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,zero digitized entry; uncertainty unknown,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,-0.25519999999999854,7.149400000000001
mo2-F-q3-r25,F-q3,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,25,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,9,30,F,3,31.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,digitized SD,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,0.08340000000000103,9.3772
mo2-F-q3-r26,F-q3,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,26,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,9,30,F,3,52.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,digitized SD,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,-0.05026666666666557,10.231866666666667
mo2-F-q3-r27,F-q3,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,27,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,9,30,F,3,84.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,zero digitized entry; uncertainty unknown,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,-0.026199999999995782,10.535400000000003
mo2-F-q4-r28,F-q4,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,28,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,9,30,F,4,5.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,zero digitized entry; uncertainty unknown,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,-0.12366666666666681,2.6436666666666664
mo2-F-q4-r29,F-q4,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,29,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,9,30,F,4,10.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,zero digitized entry; uncertainty unknown,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,-0.015000000000000568,4.808999999999999
mo2-F-q4-r30,F-q4,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,30,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,9,30,F,4,20.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,digitized SD,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,-0.1906666666666652,6.594666666666668
mo2-F-q4-r31,F-q4,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,31,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,9,30,F,4,31.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,zero digitized entry; uncertainty unknown,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,-0.20079999999999742,7.809600000000001
mo2-F-q4-r32,F-q4,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,32,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,9,30,F,4,51.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,zero digitized entry; uncertainty unknown,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,-0.1001999999999974,9.280400000000002
mo2-F-q4-r33,F-q4,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,33,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,9,30,F,4,83.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,zero digitized entry; uncertainty unknown,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,-0.08586666666666432,9.614066666666668
mo2-M-q2-r34,M-q2,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,34,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,8,29,M,2,6.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,digitized SD,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,-0.8050000000000015,4.682999999999999
mo2-M-q2-r35,M-q2,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,35,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,8,29,M,2,10.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,digitized SD,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,0.08799999999999919,7.624
mo2-M-q2-r36,M-q2,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,36,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,8,29,M,2,20.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,digitized SD,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,-0.29966666666666697,10.241666666666667
mo2-M-q2-r37,M-q2,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,37,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,8,29,M,2,30.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,zero digitized entry; uncertainty unknown,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,-0.25,10.47
mo2-M-q2-r38,M-q2,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,38,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,8,29,M,2,49.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,zero digitized entry; uncertainty unknown,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,-0.008666666666670153,12.208666666666664
mo2-M-q2-r39,M-q2,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,39,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,8,29,M,2,81.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,zero digitized entry; uncertainty unknown,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,-0.023200000000002774,15.496399999999998
mo2-M-q3-r40,M-q3,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,40,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,8,29,M,3,5.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,digitized SD,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,0.7099999999999991,5.489999999999999
mo2-M-q3-r41,M-q3,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,41,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,8,29,M,3,10.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,zero digitized entry; uncertainty unknown,zero digitized entry; uncertainty unknown,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,0.6819999999999986,7.783999999999999
mo2-M-q3-r42,M-q3,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,42,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,8,29,M,3,20.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,digitized SD,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,0.02466666666666839,9.887333333333334
mo2-M-q3-r43,M-q3,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,43,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,8,29,M,3,30.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,zero digitized entry; uncertainty unknown,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,0.07000000000000028,11.370000000000001
mo2-M-q3-r44,M-q3,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,44,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,8,29,M,3,51.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,zero digitized entry; uncertainty unknown,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,0.057800000000000296,11.1554
mo2-M-q3-r45,M-q3,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,45,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,8,29,M,3,80.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,digitized SD,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,0.013666666666669158,13.048333333333334
mo2-M-q4-r46,M-q4,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,46,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,8,29,M,4,6.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,digitized SD,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,-0.7668000000000017,4.573599999999999
mo2-M-q4-r47,M-q4,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,47,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,8,29,M,4,10.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,zero digitized entry; uncertainty unknown,digitized SD,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,0.21000000000000085,7.15
mo2-M-q4-r48,M-q4,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,48,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,8,29,M,4,20.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,zero digitized entry; uncertainty unknown,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,0.2920000000000016,9.376000000000001
mo2-M-q4-r49,M-q4,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,49,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,8,29,M,4,30.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,digitized SD,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,-0.24199999999999733,9.692000000000002
mo2-M-q4-r50,M-q4,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,50,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,8,29,M,4,50.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,zero digitized entry; uncertainty unknown,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,0.11933333333333351,11.252666666666666
mo2-M-q4-r51,M-q4,puckworks/data/mo2023_2/figs6_9_yield_strength.csv,51,4413a5c7bdfd42b1e86f7770c682e04848e7e861c3e318dba4cfe97ad36633d3,8,29,M,4,80.0,measured tabulated coordinate; no extrapolation,percent (denominator unresolved),cumulative mass percent,digitized SD,zero digitized entry; uncertainty unknown,"mass integer g, response .001 percentage point; digitization bound not established",SOURCE_AUDIT_ONLY,BLOCKED_SOURCE_CONTRACT,0.09566666666666634,11.514333333333333
