dry_solids_mass_fraction,dry_solids_percent_w_w,temperature_C,kinematic_viscosity_mm2_s,measurement_type,source_doi,source_table,license,notes
0.50,50,40,35.3,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.60,60,40,325.0,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.70,70,40,2780.0,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.15,15,50,1.081,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.20,20,50,1.616,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.25,25,50,2.375,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.30,30,50,3.816,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.35,35,50,5.173,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.40,40,50,8.92,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.45,45,50,15.645,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.50,50,50,23.8,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.60,60,50,181.8,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.70,70,50,1343.0,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.15,15,60,0.969,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.20,20,60,1.374,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.25,25,60,1.951,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.30,30,60,2.967,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.35,35,60,4.24,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.40,40,60,6.911,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.45,45,60,11.325,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.50,50,60,16.5,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.60,60,60,109.7,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.70,70,60,683.2,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.15,15,70,0.858,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.20,20,70,1.141,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.25,25,70,1.64,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.30,30,70,2.431,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.35,35,70,3.336,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.40,40,70,5.375,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.45,45,70,7.774,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.50,50,70,12.3,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.60,60,70,72.1,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.70,70,70,360.7,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.15,15,80,0.747,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.20,20,80,0.989,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.25,25,80,1.357,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.30,30,80,2.148,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.35,35,80,2.742,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.40,40,80,4.127,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.45,45,80,5.759,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.50,50,80,8.8,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.60,60,80,50.5,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
0.70,70,80,291.2,measured,10.1088/1755-1315/548/2/022040,Table 1,CC BY 3.0,Coffee extract for soluble-coffee processing; do not extrapolate below 15 wt% without validation.
